 -- REGISTRO DE VENDAS -

Usu�rio: jairo, Jogo: godofwae, Total a pagar: R$133.0, Data: 24/06/2024 18:04:37
Usu�rio: jairo, Jogo: godofwae, Total a pagar: R$133.0, Data: 24/06/2024 18:04:39
Usu�rio: jairo, Jogo: JAJA, Total a pagar: R$123.0, Data e Hora: 25/06/2024 16:03:09
Usu�rio: jairo, Jogo: JAJA, Total a pagar: R$123.0, Data e Hora: 25/06/2024 16:03:10
Usu�rio: jairo, Jogo: JAJA, Total a pagar: R$123.0, Data e Hora: 25/06/2024 16:28:23
Usu�rio: jairo, Jogo: JAJA, Total a pagar: R$123.0, Data e Hora: 25/06/2024 16:28:25
Usu�rio: jio, Jogo: godofwae, Total a pagar: R$133.0, Data e Hora: 25/06/2024 16:30:12
Usu�rio: jio, Jogo: godofwae, Total a pagar: R$133.0, Data e Hora: 25/06/2024 16:30:13
Usuario: jairo, Jogo: JAJA, Total a pagar: R$123.0, Data e Hora: 26/06/2024 02:12:51
Usuario: jairo, Jogo: juliette, Total a pagar: R$899.0, Data e Hora: 26/06/2024 02:12:55
Usuario: jairo, Jogo: godofwae, Total a pagar: R$133.0, Data e Hora: 26/06/2024 12:40:52
Usuario: jairo, Jogo: juliette, Total a pagar: R$899.0, Data e Hora: 26/06/2024 12:41:01
